elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
69170.001334, 9.999059, 33, 8598, 15618.7, 15319, 20570, 24531, 24531, 24531, 0
69180.001341, 10.000007, 37, 9398, 16480.5, 15111, 23315, 24423, 24423, 24423, 0
69190.001205, 9.999864, 60, 10083, 16494.9, 15909, 23315, 26630, 29845, 29845, 0
69200.00152, 10.000315, 38, 10830, 16066.2, 14857, 23924, 30350, 30350, 30350, 0
69210.001819, 10.000299, 32, 8489, 15077.5, 14866, 21982, 24550, 24550, 24550, 0
69220.001167, 9.999348, 39, 7795, 15505.5, 15571, 20119, 22936, 22936, 22936, 0
69230.001739, 10.000572, 31, 10984, 16193.2, 14767, 24887, 24993, 24993, 24993, 0
69240.001278, 9.999539, 44, 9154, 15457.4, 15201, 20974, 22847, 22847, 22847, 0
69250.001247, 9.999969, 49, 8930, 16768.9, 15475, 24875, 26773, 35092, 35092, 0
69260.001457, 10.00021, 37, 11087, 16400.4, 15254, 24313, 35092, 35092, 35092, 0
69270.001288, 9.999831, 35, 5897, 16871.3, 16809, 23104, 24300, 24300, 24300, 0
69280.001218, 9.99993, 35, 9419, 16040.7, 14808, 23923, 30945, 30945, 30945, 0
69290.001508, 10.00029, 41, 12229, 17055.0, 16286, 23841, 24594, 24594, 24594, 0
69300.001827, 10.000319, 40, 7450, 16472.3, 16073, 23317, 28013, 28013, 28013, 0
69310.001245, 9.999418, 22, 8807, 15315.9, 14639, 22943, 24815, 24815, 24815, 0
69320.001302, 10.000057, 43, 9346, 17458.0, 17189, 24815, 35741, 35741, 35741, 0
69330.002448, 10.001146, 34, 12419, 15368.0, 14885, 19625, 22580, 22580, 22580, 0
69340.00155, 9.999102, 31, 9157, 15205.8, 15138, 19329, 22110, 22110, 22110, 0
69350.001252, 9.999702, 37, 8233, 15941.1, 15470, 24087, 28708, 28708, 28708, 0
69360.001364, 10.000112, 37, 9566, 15537.9, 15274, 19866, 19877, 19877, 19877, 0
69370.001205, 9.999841, 46, 8508, 16000.1, 15666, 23269, 25458, 25458, 25458, 0
69380.00125, 10.000045, 44, 10056, 16024.1, 15158, 21953, 27559, 27559, 27559, 0
69390.001272, 10.000022, 42, 8617, 15495.9, 14823, 19700, 23004, 23004, 23004, 0
69400.001788, 10.000516, 51, 7484, 16707.9, 17157, 22419, 24780, 26934, 26934, 0
69410.001226, 9.999438, 39, 9117, 16403.0, 15857, 22957, 24648, 24648, 24648, 0
69420.001179, 9.999953, 41, 9365, 16240.5, 15414, 22532, 27775, 27775, 27775, 0
69430.001342, 10.000163, 48, 9443, 15746.2, 15392, 20150, 26333, 27775, 27775, 0
69440.001887, 10.000545, 40, 9319, 16522.0, 15377, 24776, 28082, 28082, 28082, 0
69450.001238, 9.999351, 41, 8994, 16827.7, 16410, 23738, 28082, 28082, 28082, 0
